2025-11-14 07:09:47 | Examen: s | Exitosas: 2 | Fallidas: 1
2025-11-14 07:10:18 | Examen: w | Exitosas: 0 | Fallidas: 3
2025-11-14 07:12:54 | Examen: q | Exitosas: 0 | Fallidas: 3
2025-11-14 07:15:03 | Examen: s | Exitosas: 0 | Fallidas: 3
2025-11-14 07:23:52 | Examen: a | Exitosas: 1 | Fallidas: 2
2025-11-14 07:42:09 | Examen: cs | Exitosas: 2 | Fallidas: 1
2025-11-14 07:42:57 | Examen: nuevo | Exitosas: 1 | Fallidas: 2
2025-11-14 07:43:20 | Examen: e | Exitosas: 1 | Fallidas: 2
2025-11-14 07:43:59 | Examen: examen | Exitosas: 1 | Fallidas: 2
2025-11-14 07:44:39 | Examen: dddddd | Exitosas: 1 | Fallidas: 2
2025-11-14 07:45:04 | Examen: d | Exitosas: 1 | Fallidas: 2
2025-11-14 07:45:19 | Examen: d`d | Exitosas: 1 | Fallidas: 2
2025-11-14 07:48:10 | Examen: s | Exitosas: 1 | Fallidas: 0
2025-11-14 07:49:56 | Examen: queeeeeee | Exitosas: 0 | Fallidas: 1
2025-11-14 07:55:31 | Examen: d | Exitosas: 1 | Fallidas: 0
2025-11-14 07:56:10 | Examen: prueba | Exitosas: 2 | Fallidas: 0
2025-11-14 08:02:43 | Examen: s | Exitosas: 1 | Fallidas: 1
2025-11-14 08:03:29 | Examen: ew | Exitosas: 2 | Fallidas: 0
2025-11-14 08:04:25 | Examen: jae | Exitosas: 2 | Fallidas: 0
2025-11-14 08:26:07 | Examen: x | Exitosas: 2 | Fallidas: 0
2025-11-14 08:27:32 | Examen: f | Exitosas: 2 | Fallidas: 0
2025-11-14 08:28:58 | Examen: jaJQas | Exitosas: 2 | Fallidas: 0
2025-11-14 08:29:37 | Examen: que | Exitosas: 2 | Fallidas: 0
2025-11-14 09:07:12 | Examen: sd | Exitosas: 1 | Fallidas: 1
2025-11-14 09:07:35 | Examen: j | Exitosas: 1 | Fallidas: 1
2025-11-14 09:09:19 | Examen: q | Exitosas: 1 | Fallidas: 1
2025-11-14 09:14:49 | Examen: s | Exitosas: 1 | Fallidas: 1
2025-11-14 09:15:08 | Examen: q | Exitosas: 1 | Fallidas: 1
2025-11-14 17:06:54 | Examen: j | Exitosas: 2 | Fallidas: 0
2025-11-14 17:07:44 | Examen: j | Exitosas: 2 | Fallidas: 0
2025-11-14 17:09:14 | Examen: ppPP | Exitosas: 3 | Fallidas: 0
2025-11-14 17:09:59 | Examen: u`uu | Exitosas: 3 | Fallidas: 0
2025-11-14 17:12:27 | Examen: husd | Exitosas: 3 | Fallidas: 0
2025-11-14 17:13:15 | Examen: dvz | Exitosas: 3 | Fallidas: 0
2025-11-14 17:15:23 | Examen: nd | Exitosas: 3 | Fallidas: 0
2025-11-14 17:18:06 | Examen: ja | Exitosas: 3 | Fallidas: 0
2025-11-14 17:19:06 | Examen: ok | Exitosas: 1 | Fallidas: 2
2025-11-14 17:19:36 | Examen: j | Exitosas: 2 | Fallidas: 1
2025-11-14 17:22:45 | Llenado actualizado | Exitosas: 0 | Fallidas: 3
2025-11-14 17:23:23 | Llenado actualizado | Exitosas: 0 | Fallidas: 3
2025-11-14 17:24:25 | Llenado actualizado | Exitosas: 0 | Fallidas: 3
2025-11-14 17:29:03 | Examen: j | Exitosas: 1 | Fallidas: 0
2025-11-14 17:29:16 | Examen: jd | Exitosas: 1 | Fallidas: 0
2025-11-14 17:29:37 | Llenado actualizado | Exitosas: 0 | Fallidas: 1
2025-11-14 17:31:31 | Examen: h | Exitosas: 1 | Fallidas: 0
2025-11-14 17:31:48 | Llenado actualizado | Exitosas: 1 | Fallidas: 0
2025-11-14 17:34:21 | Examen: j | Exitosas: 2 | Fallidas: 0
2025-11-14 17:34:44 | Llenado actualizado | Exitosas: 2 | Fallidas: 0
2025-11-14 17:49:25 | Nueva pregunta en: Examen Teorico Parcial 1 AS | Exitosas: 2 | Fallidas: 0
2025-11-15 03:21:40 | Examen: h | Exitosas: 1 | Fallidas: 0
2025-11-15 03:23:07 | Examen: p | Exitosas: 2 | Fallidas: 0
2025-11-15 03:23:51 | Examen: si | Exitosas: 1 | Fallidas: 1
2025-11-15 03:24:06 | Nueva pregunta en: Examen Teorico Parcial 1 AS | Exitosas: 1 | Fallidas: 1
2025-11-15 03:24:23 | Llenado actualizado | Exitosas: 1 | Fallidas: 1
2025-11-15 03:26:05 | Examen: si | Exitosas: 1 | Fallidas: 1
2025-11-15 03:26:47 | Examen: examen | Exitosas: 2 | Fallidas: 0
2025-11-15 03:26:59 | Examen: examen | Exitosas: 2 | Fallidas: 0
2025-11-15 03:27:11 | Examen: examen | Exitosas: 2 | Fallidas: 0
2025-11-15 03:30:04 | Examen: examen | Exitosas: 2 | Fallidas: 0
2025-11-15 03:30:48 | Examen: examen | Exitosas: 2 | Fallidas: 0
2025-11-15 03:31:01 | Examen: nueva | Exitosas: 2 | Fallidas: 0
2025-11-15 03:31:13 | Examen: n | Exitosas: 2 | Fallidas: 0
2025-11-15 03:31:52 | Examen: s | Exitosas: 2 | Fallidas: 0
2025-11-15 03:33:30 | Examen: si | Exitosas: 2 | Fallidas: 0
2025-11-15 03:47:54 | Examen: nuevo | Exitosas: 2 | Fallidas: 0
2025-11-15 03:49:18 | Examen: examen | Exitosas: 2 | Fallidas: 0
2025-11-15 03:52:03 | Examen: amanda | Exitosas: 2 | Fallidas: 0
2025-11-15 03:54:28 | Examen: examen | Exitosas: 2 | Fallidas: 0
2025-11-15 03:55:30 | Examen: clave | Exitosas: 2 | Fallidas: 0
